,mun_name,year,TOTAL_TAX_SUM,5yr_growth,10yr_growth,15yr_growth,20yr_growth
4384,GIROMAGNY,2022,1998980.0,30.972785692570575,36.24854054474061,65.85632168649109,116.18611009271547
4385,BRECE,2022,1998788.0,12.626492853741889,25.386613135938774,11.882461137851685,74.38448572495454
4386,HUSSIGNY-GODBRANGE,2022,1998423.0,12.166476394459542,31.29854899165268,134.6522586076724,268.47682387843946
4387,ST GILDAS DES BOIS,2022,1998045.0,10.773445131788602,27.47641930758512,27.47641930758512,71.81128700781646
4388,CAUX,2022,1997947.0,44.85150876490876,58.34189918631662,145.13844923119206,209.12850679853196
4389,LE LHERM,2022,1997511.0,30.194537921109387,57.55552470630549,57.55552470630549,277.77557134103444
4390,LANDIRAS,2022,1996997.0,101.94063522913774,177.116677814258,510.56427597424437,182.07526915134343
4391,ENNEZAT,2022,1994318.0,43.31228545209829,50.329858860207985,84.42035217376026,133.64981547653915
4392,MONTHOLON,2022,1994192.0,34.63317679401352,34.63317679401352,34.63317679401352,34.63317679401352
4393,GOUFFERN EN AUGE,2022,1993494.0,969.8842900691254,969.8842900691254,969.8842900691254,969.8842900691254
4394,SAILLY SUR LA LYS,2022,1993338.0,-6.252151649174426,0.020773496631080763,0.020773496631080763,45.882678399704915
4395,PORSPODER,2022,1992255.0,35.88074853070464,51.51276628268572,139.41085070101627,267.83736727146504
4396,TREMENTINES,2022,1991652.0,32.66544946608147,49.45228772491171,75.96912580545123,148.72270066137833
4397,SAINT AUBIN D'AUBIGNE,2022,1991181.0,20.165512796373275,31.224075550781276,31.224075550781276,207.69412637337163
4398,THUMERIES,2022,1991071.0,2.088300410902293,-3.3278128734018217,47.05059955509733,23.845235673868842
4399,HERMES,2022,1989923.0,8.457032729674829,39.59180094421023,88.95967501476602,202.96137169165561
4400,CANDE,2022,1988707.0,39.356441367421944,38.07464072045451,25.78799860088463,56.37439453985028
4401,SAINT-MARCEL SUR AUDE,2022,1988649.0,27.62418600352842,57.24448598308197,57.24448598308197,229.16532179975468
4402,MARMAGNE,2022,1986861.0,24.748366761997744,37.73704456767161,56.38257932032179,77.22708954385139
4403,BOUROGNE,2022,1985725.0,55.31859974892157,62.19387384208493,-50.84219769272911,-5.680340319781277
4404,LORRIS,2022,1985652.0,16.7334993912451,22.087809184997905,10.051954069365943,49.68429622482209
4405,LANDUNVEZ,2022,1984832.0,45.345901264799444,70.93056100972105,210.7938362095288,289.81179432692363
4406,SAINT GERMAIN NUELLES,2022,1984173.0,15.587180029395265,18.865923859355053,18.865923859355053,18.865923859355053
4407,MONTRIOND,2022,1983788.0,99.25292257132038,110.78676279173551,180.9822398547348,249.9151576726744
4408,SOLLIES-VILLE,2022,1983593.0,28.825151517513163,52.794698538292785,102.17020842888446,158.37487414014763
4409,BRIDES LES BAINS,2019,1982970.0,-12.79497008905778,-2.0411127270427922,-2.0411127270427922,13.756090173287049
4410,DURTOL,2022,1982926.0,60.22867578137626,83.13861238000418,226.30122198855355,344.79771379350564
4411,MERDRIGNAC,2022,1981970.0,7.757399734353873,15.582466889087554,18.844730187797904,45.75516585600466
4412,ST CHEF,2022,1981190.0,29.306316278632632,50.32566171851052,50.32566171851052,191.83385478349507
4413,BOUENI,2022,1980914.0,11.29024193335442,670.6517172157296,670.6517172157296,670.6517172157296
4414,AYZE,2022,1979163.0,45.23280831728737,74.24709707466829,74.24709707466829,186.1050276034642
4415,LA RIVIERE SAINT SAUVEUR,2022,1978502.0,58.5354655136632,107.3056164729476,107.3056164729476,474.3645273290988
4416,VONNAS,2022,1977222.0,14.722720729408364,33.28502265658389,60.30182327917842,93.63722901666445
4417,GAZERAN,2022,1976835.0,90.69822405294077,204.51589945977423,254.59941451234474,354.1462394839255
4418,APPRIEU,2022,1976317.0,35.094913562693534,83.60040616003188,128.5589219670493,187.5517066279058
4419,SAINT JEAN D'ARDIERES,2019,1975572.0,-20.645385971515324,-7.520329104218051,-7.520329104218051,22.097214393782075
4420,LAPEYROUSE FOSSAT,2022,1974506.0,24.690547986296394,54.769140326468225,54.769140326468225,318.4560935033008
4421,LAVERNOSE LACASSE,2022,1974178.0,49.80793834600844,82.55102691876287,82.55102691876287,433.9599268643637
4422,SAINT ARMEL,2022,1974030.0,23.45380215046501,45.23993286985773,45.23993286985773,185.38652371534644
4423,POISAT,2022,1973231.0,16.2408242058936,31.04168935664934,74.28890413995889,88.86189810308375
4424,OETING,2022,1973027.0,-3.2832272469920416,12.3445816830161,-26.73617660907137,32.45143234227721
4425,SAINT AMOUR,2022,1973027.0,32.406100663497824,44.664391270397,44.664391270397,115.3936092400738
