,mun_name,year,TH - INTERCOMMUNALITY / ACTUAL AMOUNT OF WHICH THP/E FOR THE BENEFIT OF THE STATE,yr_growth
3705,BAGNEUX,2011,3889064.0,9314.340353425321
15499,COUDROY,2011,22637.0,9292.946058091286
40215,MONTEREAU,2011,56798.0,9272.607260726074
2637,AUBIGNY,2011,384169.0,9272.261527201756
65669,VIEUX-MAREUIL,2011,36379.0,9251.928020565554
47379,PRESNOY,2011,18969.0,9198.529411764706
44273,OUSSOY-EN-GATINAIS,2011,24960.0,9110.332103321034
11943,CHAMPEAUX-ET-LA-CHAPELLE-POMMIER,2011,17739.0,9091.19170984456
61941,THIMORY,2011,36282.0,9062.121212121212
64117,VARENNES-CHANGY,2011,122910.0,9051.898734177215
35193,LORRIS,2011,208387.0,9007.823426573426
56893,SAINT-SAVIN,2011,528523.0,8956.254283755998
52453,SAINT-FELIX-DE-BOURDEILLES,2011,6792.0,8956.0
47881,PUYRENIER,2011,3696.0,8914.634146341463
28245,LA COUR-MARIGNY,2011,23944.0,8901.503759398496
33107,LEGUILLAC-DE-CERCLES,2011,20594.0,8893.013100436681
59921,SERVON,2011,403627.0,8806.156222418358
38569,MESSAC,2011,314043.0,8803.969379075701
44313,OUZOUER-DES-CHAMPS,2011,21493.0,8781.404958677685
57069,SAINT-SULPICE-DE-MAREUIL,2011,9414.0,8781.132075471698
3691,BAGES,2011,553334.0,8541.792909573636
7349,BONNEVILLE,2011,884199.0,8526.331707317073
61431,TAURIAC,2011,95110.0,8522.846781504986
54693,SAINT-MARCEL,2011,1521906.0,8428.950907868191
7927,BOURG,2011,136091.0,8373.910336239103
32595,LE PORT,2011,992294.0,8286.528059499662
48135,QUISSAC,2011,358244.0,8242.897065673033
24615,GUINDRECOURT-AUX-ORMES,2011,6733.0,8110.975609756098
26737,JOINVILLE,2011,326362.0,8085.653373463757
3121,AUTIGNY-LE-GRAND,2011,12169.0,8067.114093959733
56483,SAINT-PRIX,2011,1149856.0,8045.763672428449
61131,SUZANNECOURT,2011,27243.0,8032.23880597015
50389,RUPT,2011,29143.0,8017.827298050139
64573,VECQUEVILLE,2011,29875.0,7930.913978494624
12977,CHATONRUPT-SOMMERMONT,2011,21276.0,7928.679245283019
22283,FRONVILLE,2011,24202.0,7887.458745874588
10581,CASSAGNES,2011,45271.0,7856.239015817224
62027,THONNANCE-LES-JOINVILLE,2011,51342.0,7798.769230769231
42927,NOMECOURT,2011,7872.0,7772.0
37307,MARSILLY,2011,249987.0,7746.421845574388
67023,VINEUIL,2011,723550.0,7728.08611922536
23345,GIVRY,2011,538835.0,7722.807781649244
41851,MUSSEY-SUR-MARNE,2011,24364.0,7708.974358974359
64489,VAUX-SUR-SAINT-URBAIN,2011,3806.0,7667.34693877551
50175,ROUVROY-SUR-MARNE,2011,25307.0,7662.883435582822
57235,SAINT-URBAIN-MACONCOURT,2011,38547.0,7609.4
61805,THEUVILLE,2011,34285.0,7570.022371364654
20203,FALAISE,2011,511081.0,7474.937009041055
24403,GUDMONT-VILLIERS,2011,23433.0,7459.032258064516
37559,MATHONS,2011,3820.0,7246.153846153847
31593,LE BREUIL,2011,501449.0,7189.56243640064
7075,BOISEMONT,2011,122034.0,7103.896103896103
4957,BEAUPUY,2011,345091.0,6942.673469387755
46445,POLIGNAC,2011,352635.0,6891.177636796194
58981,SAUZET,2011,338184.0,6848.5103760016445
42763,NOAILLES,2011,290120.0,6755.38752362949
55811,SAINT-PALAIS,2011,251371.0,6599.653518123668
65547,VIEILLEVIGNE,2011,250596.0,6541.823482639809
37247,MARS,2011,97882.0,6276.677524429967
26427,IVORY,2011,7185.0,6258.407079646017
45179,PERRIGNY,2011,308751.0,6254.208684914592
60681,SOUGE,2011,51345.0,6231.072749691739
18677,ECUELLES,2011,221844.0,6124.579124579124
20417,FAYET-RONAYE,2011,17512.0,6087.985865724381
57471,SAINT-VRAIN,2011,441257.0,6055.070442181615
20815,FLAMANVILLE,2011,124560.0,6029.92125984252
36265,MAIZIERES,2011,160080.0,6028.6370597243495
61979,THIZY,2011,85257.0,6011.612903225807
39027,MIREMONT,2011,191202.0,6010.642377756471
32889,LE TRONCHET,2011,86135.0,6000.212464589235
59747,SERIGNAC,2011,51345.0,5990.747330960854
16879,CUSSAC,2011,119488.0,5962.303399289701
467,AIX-LA-FAYETTE,2011,9943.0,5926.060606060606
63183,TROIS-PALIS,2011,61169.0,5867.707317073171
47169,PRADES,2011,856924.0,5861.625156532628
64939,VERFEIL,2011,285729.0,5821.844559585493
50043,ROULLET-SAINT-ESTEPHE,2011,354370.0,5796.339434276207
45095,PERIGNY,2011,969660.0,5764.997278170931
51473,SAINT-BONNET-LE-BOURG,2011,22896.0,5740.816326530612
32337,LE MONESTIER,2011,20258.0,5738.040345821326
51475,SAINT-BONNET-LE-CHASTEL,2011,27813.0,5682.328482328482
67319,VOEUIL-ET-GIGET,2011,151420.0,5659.604412324077
44721,PARNAC,2011,53850.0,5659.358288770053
